Team,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,Season,Season Type,Match Count
New Orleans Hornets,103.34,101.33,5.42,4.55,14.73,12.24,33.22,31.88,24.26,21.95,8.81,8.71,5.29,5.75,15.45,15.61,23.75,23.62,2002-2003,REG,82
New York Knicks,104.58,106.03,8.06,4.76,11.2,12.44,31.61,34.76,23.95,23.04,7.7,8.34,3.39,4.1,14.82,15.1,25.12,21.7,2002-2003,REG,82
Seattle SuperSonics,103.76,103.8,6.26,6.48,13.23,12.87,32.76,33.78,24.38,23.37,9.33,6.86,4.05,5.61,14.09,15.89,23.51,22.93,2002-2003,REG,82
Orlando Magic,104.96,104.82,7.38,5.26,12.45,12.6,31.08,33.73,21.78,23.87,9.04,8.36,3.9,5.34,14.79,16.7,24.53,23.69,2002-2003,REG,82
Philadelphia 76ers,104.17,101.73,3.21,5.95,13.67,11.92,31.68,31.5,23.23,23.74,11.07,8.39,3.73,6.84,15.18,17.78,23.67,24.74,2002-2003,REG,82
Phoenix Suns,103.69,102.46,5.22,5.77,13.89,13.65,32.3,32.92,22.75,24.14,8.8,8.46,5.35,6,15.42,16.41,23.84,23.34,2002-2003,REG,82
Portland Trailblazers,105.86,102.74,5.14,5.93,13.46,12.35,32.26,31.03,25.23,25.22,9.84,9.25,4.29,5.29,16.08,16.26,22.17,22.61,2002-2003,REG,82
Sacramento Kings,105.69,98.69,6.22,4.71,11.4,14.47,34.85,33.03,25.77,22.23,9.33,8.64,5.79,4.5,14.84,15.1,21.11,20.66,2002-2003,REG,82
San Antonio Spurs,105.06,99.17,6,4.74,12.56,13.77,34.18,31.07,21.88,20.86,8.41,8.9,7.07,5.65,16.85,15.75,22.36,25.62,2002-2003,REG,82
Toronto Raptors,100.46,107.03,5.51,4.99,13.79,13.17,31.74,35.09,21.34,23.32,8.21,8.15,5.28,5.48,14.91,14.57,23.74,22.96,2002-2003,REG,82
Utah Jazz,105.18,102.38,3.04,5.91,13.84,13.68,32.26,28.69,28.5,21.66,9.58,9.8,6.33,5.78,17.68,16.96,24.89,26.39,2002-2003,REG,82
Washington Wizards,102.81,103.76,3.47,6.14,12.57,12.98,32.82,33.48,22.09,24.3,8.51,8.37,5.35,4.9,14.18,15.23,22.53,24.68,2002-2003,REG,82
Boston Celtics,101.5,102.15,9.23,6.33,9.44,12.66,34.23,35.94,22.21,23.71,9.23,8.48,4.61,4.61,15.13,15.67,27.79,25.22,2002-2003,POFF,10
Dallas Mavericks,110.22,111.27,9.74,7.01,11.81,13.82,32.72,35.49,21.6,24.55,6.41,7.33,5.45,4.73,12.65,13.92,25.73,23.43,2002-2003,POFF,20
Detroit Pistons,102,100.93,7.61,4.47,12.21,13.33,32.09,35.6,20.15,19.93,9.07,7.33,6.67,4.27,14.34,16.53,26.62,30.87,2002-2003,POFF,17
Indiana Pacers,101.48,107.59,5.75,10.56,14.66,9.82,37.48,35.19,22.08,22.41,7.79,8.52,6.49,4.44,14.84,12.78,26.16,28.15,2002-2003,POFF,6
Los Angeles Lakers,106.18,106.29,7.5,5.58,13.06,10.28,32.75,33.92,22.15,22.32,7.41,7.71,5.65,4.07,14.21,13.82,25.42,24.98,2002-2003,POFF,12
Milwaukee Bucks,105.96,110.85,6.86,5.43,9.03,15.55,29.24,34,21.84,26.4,7.76,5.61,4.15,3.44,13.72,16.82,29.6,28.75,2002-2003,POFF,6
Minnesota Timberwolves,104.33,110.33,4.84,8.43,9.17,14.11,34.6,31.33,22.84,26.85,7.09,8.78,3.63,5.85,15.4,11.88,25.09,24.79,2002-2003,POFF,6
New Jersey Nets,102.29,98.58,5.08,6.11,14.8,10.43,34.41,33.02,23.27,20.91,8.14,8.57,4.64,6.99,16.22,16.16,27.42,26.2,2002-2003,POFF,20
New Orleans Hornets,105.29,107.39,7.18,4.92,13.99,14.02,30.44,30.49,22.68,22.35,8.32,8.9,5.67,2.65,15.31,15.53,28.92,25.95,2002-2003,POFF,6
Orlando Magic,99.35,107.44,5.84,6.8,11.18,14.24,32.09,33.98,18.15,21.04,6,9.55,4.54,6.15,16.69,13.92,33.87,27.19,2002-2003,POFF,7
Philadelphia 76ers,104.64,103.79,4.26,8.44,13.73,12.99,33.81,30.24,21.5,21.33,8.14,8.91,2.84,6.16,16.19,14.88,27.18,28.25,2002-2003,POFF,12
Phoenix Suns,91.41,97.14,5.01,5.73,14.31,15.39,31.84,37.21,17.35,23.97,10.2,8.05,6.26,7.34,16.82,18.96,31.31,22.54,2002-2003,POFF,6
Portland Trailblazers,114.54,113.41,7.11,9.21,16.96,12.6,33.6,29.73,26.33,22.94,7.11,7.11,3.39,4.85,15.35,12.6,25.53,26.82,2002-2003,POFF,7
Sacramento Kings,121.71,118.86,7.61,7.88,14.47,14.73,35.53,34.8,25.47,24.67,8.46,6.94,5.36,6.29,14.38,14.92,25.94,27.39,2002-2003,POFF,12
San Antonio Spurs,103.55,97.37,5.83,6.32,13.25,13.18,36.5,32.94,22.62,18.17,8.47,8,7.51,6.22,15.89,15.77,23.4,27.99,2002-2003,POFF,24
Utah Jazz,130.62,145.1,2.53,8.4,19.66,18.77,35.39,35.85,29.49,29.69,10.11,12.33,7.87,8.12,21.63,18.77,34.83,33.89,2002-2003,POFF,5
Atlanta Hawks,100.28,105.26,5.52,6.35,13.12,13.8,33.03,32.73,21.71,23.75,8.26,9.63,5.38,5.48,16.84,14.3,24.06,22.38,2003-2004,REG,82
Boston Celtics,101.95,103.55,7.22,7.25,11.11,13.96,31.85,32.96,21.97,24.58,10.05,9.35,4.32,5.33,16.82,17.42,23.98,23.75,2003-2004,REG,82
Chicago Bulls,96.64,103.41,5.64,5.76,13.77,13.28,33.1,35.22,23.56,24.82,8.66,9.1,5.2,5.86,16.41,15.63,25.11,22.11,2003-2004,REG,82
Cleveland Cavaliers,101.51,104.18,3.29,5.73,14.9,12.91,34.89,32.91,24.09,23.71,7.79,8.43,7.15,5.77,15.55,13.54,23.22,22.02,2003-2004,REG,82
Dallas Mavericks,112.03,107.27,6.58,6.93,15.25,13.1,32.96,33.26,25.49,25.15,8.52,7.54,5.68,4.96,12.53,15.31,20.9,21.94,2003-2004,REG,82
Denver Nuggets,103.74,102.62,4.31,4.89,14.09,13.75,31.06,32.08,23.34,25.13,9.69,8.64,6.77,6.24,15.63,17.48,23.47,24.67,2003-2004,REG,82
Detroit Pistons,101.72,95.1,4.59,4.9,13.96,13.49,34.31,32.39,23.43,21.49,9.07,8.91,7.85,5.64,16.23,16.64,22.91,25.84,2003-2004,REG,82
Golden State Warriors,102.91,103.7,5.77,5.57,13.48,13.2,34.08,34.06,22.62,23.7,7.45,8.96,5.23,5.62,15.53,14.81,22.75,24.23,2003-2004,REG,82
Houston Rockets,101.04,99.14,7.07,6.28,11.63,12.45,36.33,32.28,21.67,23.19,7.69,9.74,6.08,4.93,17.77,14.39,24.18,23.27,2003-2004,REG,82
Indiana Pacers,103.91,97.15,6.23,4.55,13.38,12,34,33.53,24.6,22.82,10.07,8.05,5.7,7.09,15.37,17.19,23.7,24.82,2003-2004,REG,82
Los Angeles Clippers,103.13,108.12,4.37,6,15.25,13.71,32.06,31.29,21.94,24.87,7.88,9.17,4.99,5.8,17,14.2,24.1,24.7,2003-2004,REG,82
Los Angeles Lakers,105.45,101.46,4.78,5.51,13.11,12.1,33.2,33.57,25.51,22.41,8.93,8.08,4.96,4.04,14.35,15.56,22.68,26.56,2003-2004,REG,82
Memphis Grizzlies,104.69,101.91,5.9,4.87,13.82,14.49,31.43,33.07,25.28,22.07,10.5,8.85,7.46,6.08,15.58,17.39,25.12,24.93,2003-2004,REG,82
Miami Heat,102.05,101.36,6.69,5.94,12.96,12.29,33.9,34.24,21.58,21.02,8.14,7.96,4.32,6.05,14.84,15.99,24.98,23.82,2003-2004,REG,82
Milwaukee Bucks,105.9,104.98,5.28,6.02,12.65,12.98,32.96,33.28,24.66,24.69,7.3,8.11,5.05,5.36,14.04,14.72,21.97,24.79,2003-2004,REG,82
Minnesota Timberwolves,105.73,99.69,4.45,5.39,11.93,13.66,36.07,32.76,25.77,23.22,7.65,7.47,6.3,4.04,13.69,14.35,23.61,22.6,2003-2004,REG,82
New Jersey Nets,100.52,97.61,5.12,5.67,11.71,11.84,33.59,33.52,27.29,22.07,9.63,8.9,4.37,5.07,15.71,16.86,23.39,23.59,2003-2004,REG,82
New Orleans Hornets,101.85,102.22,7.18,6.03,14.76,13.18,32.71,33.58,23.21,24.27,9.58,8.31,4.68,5.82,15.63,16.32,23.2,23.51,2003-2004,REG,82
New York Knicks,101.03,102.78,5.44,5.57,12.73,12.74,34.07,32.78,22.71,22.48,8.15,9.05,5.24,5.14,16.79,14.47,25.41,21.46,2003-2004,REG,82
Seattle SuperSonics,107.19,107.68,9.73,6.53,12.21,14.35,31.2,32.64,23.98,23.21,8.9,8.44,5.21,5.2,15.18,15.56,24.01,22.27,2003-2004,REG,82
Orlando Magic,102.46,110.38,5.7,6.54,13.33,14.28,31.23,34.23,21.05,26.69,7.27,8.33,4.09,5.99,14.12,14.08,23.17,22.52,2003-2004,REG,82
Philadelphia 76ers,98.77,101.62,4.64,6.07,12.88,13.64,32.96,32.85,22.45,23.93,8.95,9.29,4.9,6.34,16.52,16.23,23.29,24.07,2003-2004,REG,82
Phoenix Suns,101.43,105.48,5.45,6.29,12.14,13.64,31.6,33.5,20.83,23.12,9.64,8.51,5.03,5.66,15.8,16.18,24.46,20.87,2003-2004,REG,82
Portland Trailblazers,103.46,104.85,5.3,5.8,14.46,14.12,33.04,31.86,24.59,26.57,8.53,9.13,6.16,5.42,15.77,14.82,21.61,21.32,2003-2004,REG,82
Sacramento Kings,109.96,104.4,7.84,5.32,11.58,14.06,32.5,32.81,28.06,22.68,9.26,8.47,4.24,5.38,14.44,15.29,20.68,23.65,2003-2004,REG,82
San Antonio Spurs,102.31,94.12,5.57,4.24,14.03,12.38,36.4,33.5,22.86,19.33,9.02,8.64,7.32,5.18,15.75,16.27,22.74,25.02,2003-2004,REG,82
Toronto Raptors,96.64,100.14,6.36,3.77,11.45,14.28,33.37,36.75,21.71,20.96,8.33,8.08,5.55,4.6,15.05,15.7,24.11,22.35,2003-2004,REG,82
Utah Jazz,101.41,102.93,3.52,5.8,15.38,12.12,31.69,29.76,23.31,21.34,8.1,9.27,6.89,7.4,17.5,16.98,29.23,27.92,2003-2004,REG,82
Washington Wizards,98.37,104.36,5.67,5.54,14.56,13.69,31.24,32.92,20.08,25.68,9.57,10.27,5.3,5.85,17.91,16.58,22.36,23.29,2003-2004,REG,82
Boston Celtics,93.37,111.88,5.8,8.01,10.22,13.54,35.08,33.98,19.34,25.41,7.18,14.09,5.53,6.63,20.72,14.09,22.38,25.14,2003-2004,POFF,4
Dallas Mavericks,101.84,101.66,5.11,6.83,20.86,13.04,32.52,36.44,21.06,22.98,9.41,10.35,6.75,4.76,13.29,16.36,22.09,22.57,2003-2004,POFF,5
Denver Nuggets,100.22,104.42,4.87,7.06,15.93,10.16,31.86,34.22,22.57,22.08,8.63,7.51,3.1,6.62,15.27,17.22,26.77,23.84,2003-2004,POFF,5
Detroit Pistons,99.26,91.52,4.81,5.33,14.67,12.33,36.42,33.68,22.15,21.06,9.12,9.02,8.13,5.77,15.76,16.37,25.67,29.44,2003-2004,POFF,23
Houston Rockets,94.42,100.9,5.13,5.16,10.71,11.21,38.84,34.08,19.2,27.35,5.8,11.21,4.02,4.48,17.63,11.44,25.45,24.22,2003-2004,POFF,5
Indiana Pacers,99.06,94.53,6.88,4.3,12.53,12.54,36.28,36.88,20.71,19.75,10.07,7.58,7.24,7.36,15.13,17.27,27.23,26.75,2003-2004,POFF,16
Los Angeles Lakers,100.94,99.59,5.67,5.86,11.66,13.18,34.41,35.96,25.92,20.45,8.38,7.53,4.84,3.89,13.85,15.52,26.18,27.45,2003-2004,POFF,22
Memphis Grizzlies,95.98,112.07,4.31,8.91,10.92,13.22,28.74,35.06,16.67,25,10.92,8.62,5.75,7.18,16.09,18.68,28.74,23.28,2003-2004,POFF,4
Miami Heat,97.95,96.19,4.28,6.83,12.92,13.39,35.38,35.11,19.7,20.83,8.73,7.27,4.9,5.59,15.15,17.55,28.52,24.91,2003-2004,POFF,13
Milwaukee Bucks,95.11,110.09,5.33,6.05,12.44,14.57,31.11,36.1,22.89,26.91,9.11,10.76,4.67,8.97,17.56,15.25,24.89,23.09,2003-2004,POFF,5
Minnesota Timberwolves,102.35,102.54,6.56,6.01,10.76,13.13,35.99,33.75,21.46,25.82,7.36,8.36,5.75,3.84,15.89,13.5,27.03,24.21,2003-2004,POFF,18
New Jersey Nets,96.9,94.49,4.9,4.81,11.69,13.73,35.27,32.47,22.48,21.34,9.49,9.72,5.89,6.41,18.68,16.23,28.57,29.16,2003-2004,POFF,11
New Orleans Hornets,91.03,96.41,6.69,4.57,14.52,13.21,34.1,35.4,20.56,20.07,7.02,9.3,4.89,4.89,18.43,15.17,23.33,27.24,2003-2004,POFF,7
New York Knicks,92.82,106.61,4.7,4.68,13.54,10.19,29.01,37.74,21.55,24.52,10.22,10.47,4.42,5.51,16.58,20.11,30.94,24.79,2003-2004,POFF,4
Sacramento Kings,100.97,100.35,6.19,5.98,11.58,15.48,35.1,35,24.23,20.93,9.99,8.62,3.89,6.68,14.59,15.13,22.37,23.92,2003-2004,POFF,12
San Antonio Spurs,101.94,98.85,7.88,4.7,14.38,10.09,33.9,33.6,22.15,20.53,8.79,9.17,4.8,5.96,17.12,16.28,26.03,26.03,2003-2004,POFF,10
Atlanta Hawks,100.15,110.58,4,6.15,14.49,11.87,30.75,32.68,21.25,23.73,8.28,9.43,4.53,6.37,16.53,15.41,26.46,23.39,2004-2005,REG,82
Boston Celtics,107.2,106.3,5.64,6.3,11.74,13.42,31.47,31.34,23.37,24.02,8.61,9.22,5.46,5.19,16.25,15.62,25.82,25.01,2004-2005,REG,82
Charlotte Bobcats,100.85,107.63,4.18,5.79,14.13,12.56,30.47,33.86,23.41,23.15,9.07,8.17,5.74,5.84,14.84,16.36,24.71,24.33,2004-2005,REG,82
Chicago Bulls,101.56,100.26,6.7,5.45,13.13,12.82,33.98,33.05,22.86,22.45,7.55,8.97,4.84,5.68,17.3,15.97,26.59,25.06,2004-2005,REG,82
Cleveland Cavaliers,106.46,105.83,4.04,5.69,15.03,12.65,31.64,31.33,24.9,23.42,8.8,7.4,6.2,5.65,14.41,15.59,24.89,23.86,2004-2005,REG,82
Dallas Mavericks,110.01,103.88,6.06,5.91,12.96,14.04,33.12,32.3,21.07,22.44,9.27,7.65,6.03,5.22,13.77,15.82,23.91,24.86,2004-2005,REG,82
Denver Nuggets,106.1,103.79,4.16,6.01,12.57,12.66,32.15,31.69,25.46,23.08,9.75,8.26,6.36,5.95,15.38,16.67,24.42,25.45,2004-2005,REG,82
Detroit Pistons,105.46,101.08,5,5.65,14.52,12.79,34.55,31.98,24.63,22.29,7.94,8.41,6.85,5.06,14.76,14.83,22.57,25.5,2004-2005,REG,82
Golden State Warriors,104.37,106.83,8.05,5.81,13.79,13.65,31.41,35.79,23.35,24,8.28,7.36,5.42,5.39,13.89,15.45,23.64,23.02,2004-2005,REG,82
Houston Rockets,106.05,101.33,7.52,6.16,11.89,12.11,35.38,33.18,23.58,23.02,7.66,8.24,5.14,4.55,14.58,13.95,24.58,24.07,2004-2005,REG,82
Indiana Pacers,105.06,104.03,7.47,5.38,11.96,13.37,33.31,33.23,20.51,21.18,8.47,7.55,4.92,5.47,15.13,15.16,26.04,25.9,2004-2005,REG,82
Los Angeles Clippers,105.23,105.72,3.1,6.48,13.14,13.18,32.91,30.13,25.49,23.14,8.03,8.53,5.66,5.25,16.24,14.02,24.39,25.84,2004-2005,REG,82
Los Angeles Lakers,107.78,110.94,8.57,7.3,13.69,13.61,33.43,32.64,22.26,26.62,6.76,8.34,4.58,5.59,15.01,12.23,23.89,24.14,2004-2005,REG,82
Memphis Grizzlies,105.63,102.62,7.32,5.85,12.23,13.64,31.81,32.78,23.66,22.43,9.64,8.4,6.56,6.54,15.79,16.85,26.33,25.45,2004-2005,REG,82
Miami Heat,110.45,103.25,6.3,5.84,11.77,12.22,35.01,31.76,23.76,21.47,7,8.1,6.29,3.5,14.5,13.44,24.06,26.77,2004-2005,REG,82
Milwaukee Bucks,106.24,109.62,4.33,6.18,13.13,12.47,32.05,32.19,22.92,26.05,7.05,8.15,3.85,4.94,14.54,13.95,23.94,26.05,2004-2005,REG,82
Minnesota Timberwolves,108.21,106.43,5.39,6.37,12.92,14.05,35.19,32.13,26.16,24.28,6.27,7.35,6.1,4.4,14.12,12.39,24.2,22.18,2004-2005,REG,82
New Jersey Nets,101.45,103.11,5.89,6.56,11.57,11.83,32.31,33.88,23.98,22.55,8.8,8.13,4.17,5.44,14.9,16.8,26.86,25.46,2004-2005,REG,82
New Orleans Hornets,99.26,107.6,5.68,6.79,13.95,13.01,31.22,34.14,23.6,23.93,7.53,8.71,4.24,6.21,15.63,15.21,25.77,23.74,2004-2005,REG,82
New York Knicks,105.8,108.48,5.85,6.16,12.8,12.86,31.74,32.48,22.08,22.51,8.34,7.99,3.45,5.16,15.11,15.35,25.76,23.03,2004-2005,REG,82
Seattle SuperSonics,111.92,109.3,9.19,6.48,14.36,12.83,31.88,29.98,20.51,23.42,7.63,7.01,4.66,5.38,14.33,14.52,26.82,26.88,2004-2005,REG,82
Orlando Magic,104.46,107.02,4.1,5.68,13.29,13.13,32.57,31.14,20.26,22.41,8.1,8.95,5.65,4.54,16.42,14.58,24.8,24.63,2004-2005,REG,82
Philadelphia 76ers,102.94,103.83,6.4,7.16,11.51,12.07,32.12,33.76,21.66,23.81,9.58,8.64,4.07,4.86,15.74,17,23.78,24.46,2004-2005,REG,82
Phoenix Suns,114.42,106.85,10.06,6.23,12.22,15.55,33.52,32.17,24.35,21.96,7.23,7.91,5.73,4.31,13.91,13.68,19.75,22.08,2004-2005,REG,82
Portland Trailblazers,103.08,107.71,5.68,5.96,13.12,15.57,32.52,31.33,23.29,26.06,7.89,9.49,7.36,5.61,16.79,13.98,23.04,22.63,2004-2005,REG,82
Sacramento Kings,110.05,107.71,6.76,6.09,13.24,14.25,31.77,32.75,25.95,22.84,8.72,8.05,4.09,4.72,13.42,15,21.8,22.79,2004-2005,REG,82
San Antonio Spurs,107.55,98.81,6.91,4.4,13.46,12.18,33.94,32.76,24.15,18.88,8.36,8.1,7.4,5.74,14.56,16.2,23.41,25.78,2004-2005,REG,82
Toronto Raptors,106.92,108.49,8.47,5.68,11.03,12.94,31.95,35.51,21.83,23.68,8.12,6.62,4.14,4.7,13.53,14.83,24.53,23.43,2004-2005,REG,82
Utah Jazz,104.12,109.16,3.41,6.65,14.3,11.76,30.63,30.52,24.94,21.79,7.39,8.84,5.11,6.49,16.73,15.69,29.89,28.17,2004-2005,REG,82
Washington Wizards,106.74,107.29,6.66,6.76,14.67,13.2,30.75,32.57,20.24,24.46,9.27,7.61,4.49,5.35,14.69,16.05,23.4,25.89,2004-2005,REG,82
Boston Celtics,100.82,100.98,5.58,7.84,11.82,11.93,33.5,33.17,19.05,21.57,9.69,10.29,7.39,7.52,16.91,17.48,29.23,24.84,2004-2005,POFF,7
Chicago Bulls,106.96,109.25,9.39,5.41,14.78,13.44,31.65,34.56,22.61,20.07,6.61,8.38,5.22,6.81,15.3,14.66,30.44,27.57,2004-2005,POFF,6
Dallas Mavericks,115.18,111.94,7.51,8.32,15.76,12.93,32.1,31.05,19.56,19.77,8.09,7.25,5.69,6.1,13.37,14.75,23.43,26.28,2004-2005,POFF,13
Denver Nuggets,98.04,110.09,2.39,7.68,11.09,11.62,31.74,37.28,17.83,21.71,6.96,5.48,6.3,7.68,13.48,14.91,29.35,27.19,2004-2005,POFF,5
Detroit Pistons,105.56,99.86,5.28,6.25,14.45,11.76,34.97,34.02,23.94,20.07,8.56,7,7.15,6.44,13.46,15.96,24.59,25.34,2004-2005,POFF,25
Houston Rockets,110.88,114.33,8.12,8.63,12.18,15.31,30.68,31.76,20.46,19.54,8.28,7.98,6.66,5.54,15.75,14.5,28.08,26.06,2004-2005,POFF,7
Indiana Pacers,97.76,101.71,6.54,5.31,12.71,13.5,33.93,35.55,20.95,21.42,9.4,9.09,6.89,7.74,17.19,16.2,25.6,26.55,2004-2005,POFF,13
Memphis Grizzlies,112.91,124.66,8.52,11.51,12.91,11.51,30.5,35.62,23.08,26.03,6.32,5.21,4.95,8.49,10.71,11.78,26.92,19.18,2004-2005,POFF,4
Miami Heat,107.3,102.78,6.57,6.43,9.05,13.45,36.5,31.14,20.73,21.13,5.99,7.97,6.28,3.73,15.62,12.65,26.86,27.85,2004-2005,POFF,15
New Jersey Nets,100.52,112.89,6.49,8.51,13.51,9.02,30.91,37.11,22.08,22.17,7.79,6.19,1.3,3.61,12.99,15.98,31.95,27.06,2004-2005,POFF,4
Seattle SuperSonics,111.41,112.78,5.45,6.44,14.29,13.8,31.24,28.43,18.29,21.37,7.4,6.14,5.14,5.73,14.29,14.11,29.5,28.02,2004-2005,POFF,11
Philadelphia 76ers,101.34,109.29,7.37,7.08,10.71,12.17,28.13,35.4,22.1,25,9.6,7.3,4.46,7.08,14.29,17.04,24.33,21.68,2004-2005,POFF,5
Phoenix Suns,116.19,115.75,8.73,7.95,12.46,15.4,32.02,31.65,20.9,21.24,6.12,8.02,6.4,5.35,13.37,12.1,21.96,22.15,2004-2005,POFF,15
Sacramento Kings,112.31,117.92,6.37,7.08,14.29,14.38,25.28,32.97,22.2,22.12,6.81,6.42,4.4,5.31,12.09,13.94,28.35,25.44,2004-2005,POFF,5
San Antonio Spurs,110.57,105.87,8.14,4.03,14.09,13.63,33.93,31.28,20.98,18.8,6.35,8.4,6.6,6.71,15.68,13.13,25,27.45,2004-2005,POFF,23
Washington Wizards,106.47,109,5.94,9.11,13.68,13.24,31.71,33.58,18.24,22.67,8.7,6.67,6.15,5.72,14.21,16.1,26.94,29.66,2004-2005,POFF,10
Atlanta Hawks,106.19,111.35,5.65,5.91,14.24,13.06,29.73,31.09,21.65,22.49,7.82,7.95,5.25,5.62,16.45,15.55,27.36,24.7,2005-2006,REG,82
Boston Celtics,105.03,106.88,6.11,5.84,10.63,11.92,31.8,31.03,22.44,23.09,7.56,9.01,5.52,5.29,17.01,14.93,26.58,24.06,2005-2006,REG,82
Charlotte Bobcats,102.72,106.86,5.54,5.92,12.8,12.15,29.36,34.46,22.2,24.3,10.63,7.46,4.58,5.7,14.42,18.39,25.35,24.92,2005-2006,REG,82
Chicago Bulls,104.41,103.63,7.29,6.52,11.8,11.46,33.88,33.05,23.49,21.49,6.61,7.95,4.49,5.46,15.58,15.2,26.53,24.49,2005-2006,REG,82
Cleveland Cavaliers,108.21,105.51,6.72,6.19,12.97,10.89,33.96,32.67,21.1,22.48,7.67,7.29,5.3,4.82,14.86,13.99,23.44,24.86,2005-2006,REG,82
Dallas Mavericks,111.32,104.75,5.7,5.55,14.1,12.83,33.29,30.32,20.17,19.67,8.12,7.36,6.68,5.49,14.45,15.02,25.11,26.87,2005-2006,REG,82
Denver Nuggets,105.71,105.31,4.5,6.8,11.6,12.38,31.94,31.68,24.68,25.14,8.97,7.52,5.95,5.59,15.16,16.21,23.94,24.52,2005-2006,REG,82
Detroit Pistons,110.75,103.15,7.77,4.59,13.6,13.27,32.73,33.47,27.49,21.5,8.09,6.71,6.83,3.98,12.3,15.22,21.1,24.08,2005-2006,REG,82
Golden State Warriors,104.44,106.33,8.08,6.09,12.67,12.78,32.14,34.57,21.91,23.74,7.81,7.48,4.6,5.31,14.45,15.69,25.1,24.92,2005-2006,REG,82
Houston Rockets,101.67,103.3,6.46,7.43,11.69,12.01,35.3,34.04,21.75,22.63,8.09,8,4.4,5.13,15.43,14.21,25.64,23.58,2005-2006,REG,82
Indiana Pacers,104.29,102.36,7.26,5.03,12.17,13.13,34.67,32.78,22.09,20.62,8.1,8.97,5.54,5.41,16.31,14.44,24.67,24.42,2005-2006,REG,82
Los Angeles Clippers,105.49,103.5,3.84,6.26,10.96,11.33,35.79,32.1,22.61,23.3,7.07,7.52,6.66,4.69,14.96,13.15,24.78,23.46,2005-2006,REG,82
Los Angeles Lakers,108.22,105.62,7.33,6.3,12.87,11.87,33.02,31.88,23.01,22.99,8.33,7.12,4.65,4.7,14.56,14.64,25.14,25.58,2005-2006,REG,82
Memphis Grizzlies,106,101.65,8.28,5.72,11.7,12.99,33.37,33.68,22.24,22.49,8.42,8.37,6.2,6.39,14.81,16.09,24.64,26.16,2005-2006,REG,82
Miami Heat,108.97,104.61,6.61,6.51,11.41,10.97,35.59,31.34,22.51,21.2,6.94,7.44,5.88,3.96,15.15,13.25,24.89,25.75,2005-2006,REG,82
Milwaukee Bucks,106.09,107.34,6.71,6.49,12.29,11.02,32.38,32.78,23.4,24.46,7.9,8.03,3.57,5.48,15.23,15.24,25.16,25.65,2005-2006,REG,82
Minnesota Timberwolves,102.91,104.95,4.24,6.11,11.1,13.32,33.14,32.96,23.48,21.25,7.65,7.37,6.44,5.11,15.41,14.71,25.85,23.74,2005-2006,REG,82
New Jersey Nets,103.81,102.34,6.44,6.28,11.1,10.63,34.27,35.09,25.43,22.16,7.53,7.95,3.75,4.44,14.37,15.08,25.69,25.51,2005-2006,REG,82
New Orleans Hornets,103.35,106.48,4.07,7.41,12.47,11.68,32.31,33.92,20.63,21.51,8.3,7.16,4.22,5.87,13.93,15.71,24.25,25.93,2005-2006,REG,82
New York Knicks,103.87,111.1,4.24,7.5,13.68,11.73,31.26,30.28,19.44,23.16,7.35,8.95,3.59,5.79,18.5,14.67,28.57,27.61,2005-2006,REG,82
Seattle SuperSonics,111.02,114.21,7.99,7.15,13.37,13.23,29.48,30.55,22.39,26.02,8.21,7.89,4.04,5.26,15.18,14.92,25.52,24,2005-2006,REG,82
Orlando Magic,106.62,107.6,4.1,6.29,12.22,12.45,32.9,30.6,20.48,22.47,7.29,8.41,4.96,5.28,16.2,14.39,26.13,25.96,2005-2006,REG,82
Philadelphia 76ers,106.18,108.07,4.89,6.48,11.38,12.67,31.6,32.95,21.54,24.48,8.48,8.2,5.27,5.02,14.49,15.61,22.31,24.69,2005-2006,REG,82
Phoenix Suns,111.83,105.97,10.53,6.49,9.79,12.92,33.35,34.38,27.42,19.43,6.91,7.43,5.19,3.55,13.19,14.71,21.18,20.4,2005-2006,REG,82
Portland Trailblazers,101.18,111.98,5.06,6.92,12.31,14.3,30.6,33.97,20.69,24.13,7.35,8.23,6.04,5.6,15.6,14.16,25.39,23.67,2005-2006,REG,82
Sacramento Kings,106.7,104.82,6.5,6.07,11.22,12.52,32.55,32.88,24.02,22.76,8,8.62,3.94,5.29,15.09,15.19,22.01,24.77,2005-2006,REG,82
San Antonio Spurs,107.7,99.84,7.2,4.12,11.69,12.15,35.01,33.16,23.6,18.33,7.46,8.22,6.42,4.71,14.94,14.91,23.55,23.44,2005-2006,REG,82
Toronto Raptors,109.36,112.63,8.02,6.71,11.4,11.02,30.23,33.52,21.02,25.58,6.98,6.84,3.59,4.74,13.5,14.72,25.93,24.21,2005-2006,REG,82
Utah Jazz,103.56,106.93,4.25,6.73,14.65,11.96,32.55,30.71,24.23,20.74,7.17,9.1,6.73,6.36,16.56,15.5,27.79,28.89,2005-2006,REG,82
Washington Wizards,109.04,107.36,6.5,6.57,13.54,12.65,30.66,32.49,19.92,23.17,8.61,7.05,4.43,4.47,14.39,16.74,24.26,27.22,2005-2006,REG,82
Chicago Bulls,104.24,107.8,8.3,8.33,9.36,11.88,32.33,34.04,19.44,20.57,6.01,7.27,4.06,5.67,16.25,16.84,27.39,27.84,2005-2006,POFF,6
